LncRNA,F1:RiskSNP,F2:commonSNP,F5:TF(motif),F55:miRNA,F56:mRNA,F57:Protein,F58:Hallmark,F3:TF(ChIP-seq),F4:Core TF(ChIP-seq),F8:Histone modification,F9:ATAC-seq peak of cistrome & gene_mapper,F10:DHS & gene_mapper,F11:ATAC of cistrome & DHS & gene_mapper,F13:Element number of SE & gene_mapper,F14:Case ChIP signal of SE & gene_mapper,F15:Normalized rank of SE & gene_mapper,F17:Element number of TE & gene_mapper,F18:Case ChIP signal of TE & gene_mapper,F19:Normalized rank of TE & gene_mapper,F20:Element number of TE/SE & gene_mapper,F21:Case ChIP signal of TE/SE & gene_mapper,F22:Normalized rank of TE/SE & gene_mapper,F6:Methylation site,F7:Methylation value,F12:SE & gene_mapper,F16:TE & gene_mapper,F24:Global chromatin interaction,F25:SE/TE & interaction,F26:SE & interaction,F27:TE & interaction,F40:SE/TE & interaction & gene_mapper,F41:SE & interaction & gene_mapper,F42:TE & interaction & gene_mapper,F28:Element number of SE/TE & interaction,F29:Case ChIP signal of SE/TE & interaction,F30:Normalized rank of SE/TE & interaction,F31:Element number of SE & interaction,F32:Case ChIP signal of SE & interaction,F33:Normalized rank of SE & interaction,F34:Element number of TE & interaction,F35:Case ChIP signal of TE & interaction,F36:Normalized rank of TE & interaction,F43:Element number of SE/TE & interaction & gene_mapper,F44:Case ChIP signal of SE/TE & interaction & gene_mapper,F45:Normalized rank of SE/TE & interaction & gene_mapper,F46:Element number of SE & interaction & gene_mapper,F47:Case ChIP signal of SE & interaction & gene_mapper,F48:Normalized rank of SE & interaction & gene_mapper,F49:Element number of TE & interaction & gene_mapper,F50:Case ChIP signal of TE & interaction & gene_mapper,F51:Normalized rank of TE & interaction & gene_mapper,F37:ATAC-seq peak of cistrome & interaction,F39:DHS & interaction,F52:ATAC-seq peak of cistrome & interaction & gene_mapper,F53:DHS & interaction & gene_mapper,F23:ATAC of cistrome & ATAC of ATACdb & gene_mapper,F38:ATAC of ATACdb & interaction,F54:ATAC of ATACdb & interaction & gene_mapper
RP11-400F19.18,0,36,29,1,0,0,0,1,0,1,38,30,68,8,43786.10588,626,3,31543.13268,16915,0,0,19962,0,0,17,25,84,211,32,179,15,19,34,3,29906.14501,18587,8,46674.18466,613,2,19931.05751,16637,4,36910.14475,19000,8,47610.94526,653,3,26117.09597,14157,132,160,28,22,75,345,50
RP11-400F19.6,0,52,57,12,0,0,0,37,3,4,52,35,87,8,43786.10588,626,2,28536.60497,15711,0,0,19962,11,7.3815,17,31,59,270,35,235,17,31,48,4,36455.12627,19012,8,48940.6415,626,2,24174.29162,16205,5,40077.71792,19036,8,48318.20851,653,2,30617.97106,15937,89,91,35,26,107,301,99
RP11-400F19.8,0,45,89,6,0,0,0,38,2,4,46,32,78,8,43786.10588,626,4,64566.37265,18584,0,0,19962,7,7.134615,17,11,89,314,58,256,17,11,28,4,36966.88294,19022,8,47327.69538,626,2,26826.51332,17127,8,52606.29635,19207,8,47693.44923,653,3,66679.55634,18161,161,174,35,24,107,427,79
RP11-400K9.3,0,60,29,0,0,162,0,33,3,1,18,4,22,0,0,0,1,2429.699654,6555,1,0,5241,1,5.425,0,13,18,71,7,64,0,13,13,2,15005.0441,10485,3,153686.3906,702,2,5393.465626,10485,2,3026.006481,9561,0,0,0,2,3026.006481,9561,29,21,8,4,27,154,23
RP11-400K9.4,0,72,13,0,0,141,0,18,1,3,37,10,47,0,0,0,1,1631.835664,5400,1,0,2640,4,6.85,0,25,12,60,7,53,0,13,13,2,11207.6304,9829,3,153686.3906,702,2,4974.184641,9829,2,2645.2107,8819,0,0,0,2,2645.2107,8819,27,18,12,4,27,113,26
RP11-400L8.2,3,56,38,0,0,0,0,6,0,2,40,41,81,5,29713.62,277.5,1,8429.09687,16613,1,0,17204,0,0,2,87,72,239,22,217,2,58,60,3,17411.96421,18452,5,36676.39484,455,2,11188.07124,17625,2,14621.15244,18135,7,31750.41905,350,2,13436.10884,18057,115,101,18,17,59,593,34
RP11-400N13.1,0,37,28,0,0,0,0,3,0,0,15,20,35,0,0,0,0,0,0,0,0,0,2,6.31,0,0,57,79,1,78,0,0,0,2,11059.30828,10848,19,35730.75,764,2,10667.6981,10607.5,0,0,0,0,0,0,0,0,0,77,71,6,15,85,295,52
RP11-400N13.2,0,72,24,0,0,0,0,27,3,3,23,16,39,19,35730.75,764,1,1951.528923,6372,0,0,19962,1,2.64,1,13,71,147,2,145,1,9,10,2,10168.54465,12217,19,110899.8546,764,2,8363.324046,11300,1,6752.68226,6732,19,35730.75,764,1,2294.517992,6732,89,97,5,7,76,412,25
RP11-400N13.3,4,50,3,0,0,0,0,11,3,1,11,13,24,0,0,0,0,0,0,0,0,0,1,8.79,0,0,89,134,2,132,0,0,0,2,10424.93839,11009,19,161012.591,764,2,7976.358674,11009,0,0,0,0,0,0,0,0,0,100,94,4,8,17,385,6
RP11-400N9.1,0,51,136,0,0,0,0,15,2,5,45,41,86,7,77988.62182,819,1,8181.875827,14950,0,0,19962,5,7.293333,11,51,59,163,69,94,11,43,54,5,60411.96518,19697,6,79520.44481,819,1,12571.36484,16139,6,54639.00816,19429,7,82412.1643,819,1,8350.414603,14577,82,94,29,23,40,323,24
