LncRNA,F1:RiskSNP,F2:commonSNP,F5:TF(motif),F55:miRNA,F56:mRNA,F57:Protein,F58:Hallmark,F3:TF(ChIP-seq),F4:Core TF(ChIP-seq),F8:Histone modification,F9:ATAC-seq peak of cistrome & gene_mapper,F10:DHS & gene_mapper,F11:ATAC of cistrome & DHS & gene_mapper,F13:Element number of SE & gene_mapper,F14:Case ChIP signal of SE & gene_mapper,F15:Normalized rank of SE & gene_mapper,F17:Element number of TE & gene_mapper,F18:Case ChIP signal of TE & gene_mapper,F19:Normalized rank of TE & gene_mapper,F20:Element number of TE/SE & gene_mapper,F21:Case ChIP signal of TE/SE & gene_mapper,F22:Normalized rank of TE/SE & gene_mapper,F6:Methylation site,F7:Methylation value,F12:SE & gene_mapper,F16:TE & gene_mapper,F24:Global chromatin interaction,F25:SE/TE & interaction,F26:SE & interaction,F27:TE & interaction,F40:SE/TE & interaction & gene_mapper,F41:SE & interaction & gene_mapper,F42:TE & interaction & gene_mapper,F28:Element number of SE/TE & interaction,F29:Case ChIP signal of SE/TE & interaction,F30:Normalized rank of SE/TE & interaction,F31:Element number of SE & interaction,F32:Case ChIP signal of SE & interaction,F33:Normalized rank of SE & interaction,F34:Element number of TE & interaction,F35:Case ChIP signal of TE & interaction,F36:Normalized rank of TE & interaction,F43:Element number of SE/TE & interaction & gene_mapper,F44:Case ChIP signal of SE/TE & interaction & gene_mapper,F45:Normalized rank of SE/TE & interaction & gene_mapper,F46:Element number of SE & interaction & gene_mapper,F47:Case ChIP signal of SE & interaction & gene_mapper,F48:Normalized rank of SE & interaction & gene_mapper,F49:Element number of TE & interaction & gene_mapper,F50:Case ChIP signal of TE & interaction & gene_mapper,F51:Normalized rank of TE & interaction & gene_mapper,F37:ATAC-seq peak of cistrome & interaction,F39:DHS & interaction,F52:ATAC-seq peak of cistrome & interaction & gene_mapper,F53:DHS & interaction & gene_mapper,F23:ATAC of cistrome & ATAC of ATACdb & gene_mapper,F38:ATAC of ATACdb & interaction,F54:ATAC of ATACdb & interaction & gene_mapper
A1BG-AS1,0,48,49,6,0,373,0,18,1,2,29,26,55,4,40090.785,544,1,10717.50742,11725.5,0,0,19962,5,7.74,2,94,44,234,21,213,2,94,96,2,14182.62623,13932,4,45651.51738,402,1,12851.49005,13790,1,12393.65991,12711,4,40090.7857,544,1,11643.06029,12611,97,78,29,26,135,409,135
A2M-AS1,0,54,126,0,0,295,0,34,2,1,10,19,29,0,0,0,1,1731.1595,7920,1,0,7654,5,5.462222,0,17,21,100,0,100,0,0,0,1,9561.360581,13789,0,0,0,1,9561.360581,13789,0,0,0,0,0,0,0,0,0,38,34,0,0,38,214,0
A2ML1-AS1,0,73,62,0,0,180,0,3,0,0,16,11,27,0,0,0,1,791.7456,4290,1,0,4290,1,7.38,0,1,19,52,0,52,0,0,0,1,7648.486582,13109,0,0,0,1,7648.486582,13109,0,0,0,0,0,0,0,0,0,35,19,7,1,33,138,21
A2ML1-AS2,0,64,24,0,0,179,0,7,0,0,14,6,20,0,0,0,0,0,0,0,0,0,6,7.135455,0,0,20,38,0,38,0,0,0,1,5335.534214,8572,0,0,0,1,5335.534214,8572,0,0,0,0,0,0,0,0,0,36,27,8,2,33,161,23
AB015752.3,0,45,24,0,0,0,0,1,0,3,6,17,23,0,0,0,1,8684.284849,13105,1,0,14714,2,7.98,0,35,2,20,0,20,0,20,20,1,13529.56219,14219,0,0,0,1,13529.56219,14219,1,13529.56219,13951,0,0,0,1,13529.56219,13951,6,6,5,4,50,37,28
AB019440.50,0,50,15,0,0,0,0,4,0,0,1,3,4,0,0,0,0,0,0,0,0,0,12,6.469565,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0
ABCA9-AS1,0,45,20,0,0,92,0,2,0,1,7,35,42,0,0,0,1,3211.977694,7752,1,0,5386,1,8.13,0,33,20,6,0,6,0,0,0,1,635.89702,2007.5,0,0,0,1,635.89702,2007.5,0,0,0,0,0,0,0,0,0,9,38,1,5,37,27,0
ABCC5-AS1,1,43,31,0,0,248,0,9,1,3,100,18,118,0,0,0,1,3573.851218,9472.5,0,0,19962,1,8.225,0,34,57,173,2,171,0,33,33,1,9564.968226,12596,5,26915.05067,531,1,9507.770152,12596,2,4046.457697,9492.5,0,0,0,2,4046.457697,9492.5,194,69,87,11,141,603,135
AC000032.2,0,51,17,0,0,0,0,0,0,0,17,22,39,0,0,0,1,1859.244423,5287,1,0,4708,0,0,0,39,17,94,10,84,0,39,39,1,5708.658206,7093,4,32253.81412,402,1,4273.784914,6862,1,1916.705917,5074,0,0,0,1,1916.705917,5074,31,30,12,12,102,201,79
AC000036.4,2,54,52,0,0,0,0,4,0,0,11,14,25,0,0,0,1,6809.883668,13317,1,0,14118,4,6.555,0,25,10,18,0,18,0,5,5,1,1467.870902,2939,0,0,0,1,1467.870902,2939,1,504.24556,1803,0,0,0,1,504.24556,1803,10,4,6,2,97,52,8
AC000067.1,0,56,39,0,0,170,0,5,2,1,69,64,133,0,0,0,1,3994.951918,7406,0,0,19962,2,8.8025,0,66,38,106,0,106,0,31,31,1,9371.282845,14111,0,0,0,1,9371.282845,14111,1,1988.511719,5631,0,0,0,1,1988.511719,5631,44,52,22,28,20,133,20
AC000068.10,0,41,8,0,0,0,0,24,1,4,19,26,45,0,0,0,1,8651.167743,11973,0,0,19962,6,7.307273,0,60,54,145,0,145,0,40,40,1,9960.978388,13354,0,0,0,1,9960.978388,13354,1,10688.56256,12751,0,0,0,1,10688.56256,12751,67,80,13,18,76,234,54
AC000068.5,2,40,23,8,0,0,0,25,2,4,15,23,38,0,0,0,1,8651.167743,11973,0,0,19962,4,6.995714,0,60,28,145,0,145,0,40,40,1,9833.91874,13383,0,0,0,1,9833.91874,13383,1,10845.50758,12777.5,0,0,0,1,10845.50758,12777.5,54,69,9,15,76,223,52
AC000068.9,0,34,9,0,0,0,0,24,1,5,13,23,36,0,0,0,1,8651.167743,11973,0,0,19962,6,7.307273,0,60,54,145,0,145,0,40,40,1,9960.978388,13354,0,0,0,1,9960.978388,13354,1,10688.56256,12751,0,0,0,1,10688.56256,12751,67,80,8,17,76,234,54
AC000099.1,2,61,18,0,0,0,0,0,0,2,10,21,31,0,0,0,1.5,1296.957483,6544,0,0,19962,1,5.7,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
AC000111.3,0,24,11,0,0,0,0,9,0,3,22,19,41,0,0,0,1,3578.536456,5564.5,0,0,19962,0,0,0,18,3,2,0,2,0,1,1,9,9187.39884,17934,0,0,0,9,9187.39884,17934,9,11099.754,17666,0,0,0,9,11099.754,17666,1,2,1,0,19,5,0
AC000111.6,0,30,1,0,0,0,0,12,1,3,36,26,62,0,0,0,1,2284.443293,4967,1,0,3781,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,0
AC000120.7,0,30,22,12,0,0,0,3,0,3,17,14,31,0,0,0,1,15524.8234,14619.5,0,0,19962,0,0,0,22,8,40,0,40,0,20,20,1,16058.2296,14451,0,0,0,1,16058.2296,14451,1,17015.92698,14287.5,0,0,0,1,17015.92698,14287.5,14,9,7,5,43,63,26
AC000123.4,0,63,21,0,0,0,0,17,1,2,12,15,27,0,0,0,1,12095.9615,13928,0,0,19962,4,6.7325,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41,0,0
AC000124.1,0,75,13,0,0,0,0,4,0,0,3,7,10,0,0,0,0,0,0,0,0,0,1,2.63,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
AC000370.2,0,58,42,0,0,0,0,0,0,2,9,27,36,0,0,0,1,12579.29852,6545,1,0,6244,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
AC002044.4,1,58,33,0,0,0,0,39,5,2,63,67,130,2,37812.11,625,2,14389.46804,16381,0,0,19962,1,4.41,14,52,28,116,14,102,14,32,46,2,26927.3026,18481.5,2,38153.90461,625,2,20444.33525,17636,2,22881.83729,17644,2,38153.90461,625,2,16148.99041,16972,36,61,17,23,186,190,46
AC002056.5,0,60,50,0,0,115,0,0,0,0,11,13,24,0,0,0,1,6809.883668,13317,1,0,14118,0,0,0,25,10,18,0,18,0,5,5,1,1467.870902,2939,0,0,0,1,1467.870902,2939,1,504.24556,1803,0,0,0,1,504.24556,1803,10,4,6,2,97,52,8
AC002059.10,0,43,70,0,0,0,0,3,0,1,35,39,74,1,26755.66,16,1,21032.13749,16626.5,1,0,16499,2,6.985,1,40,16,45,0,45,0,21,21,1,15927.68913,12210,0,0,0,1,15927.68913,12210,1,18290.91488,12036.5,0,0,0,1,18290.91488,12036.5,24,21,19,10,92,82,31
AC002064.4,0,65,22,0,0,180,0,1,0,0,7,9,16,0,0,0,1,3743.932247,6217,1,0,3782,0,0,0,17,7,39,0,39,0,0,0,1,15937.25688,10093,0,0,0,1,15937.25688,10093,0,0,0,0,0,0,0,0,0,21,15,0,0,40,63,0
AC002064.5,0,51,32,0,0,0,0,2,0,0,8,7,15,0,0,0,1,8391.39503,11200.5,0,0,19962,1,7.99,0,20,3,36,0,36,0,0,0,1,14967.94386,8627,0,0,0,1,14967.94386,8627,0,0,0,0,0,0,0,0,0,9,8,0,0,40,49,0
AC002066.1,2,46,87,0,0,350,0,31,4,2,55,132,187,3,89593.47571,519,2,14934.01253,17288,2,0,19633,8,6.88,49,80,157,316,67,249,49,80,129,3,56277.57523,18875,3,96933.79969,644,2,19595.95182,18007,3,63747.4397,18918,4,98676.12128,644,2,20332.38216,17920,134,222,52,117,331,668,318
AC002076.10,0,52,28,0,0,0,0,36,2,1,26,78,104,0,0,0,1,16741.09974,13721,1,0,14472,8,6.139231,0,45,84,180,0,180,0,40,40,1,13431.56378,15364,0,0,0,1,13431.56378,15364,2,19971.23217,18401,0,0,0,2,19971.23217,18401,38,121,6,26,64,203,62
AC002115.5,0,57,50,0,0,0,0,9,0,1,21,22,43,3,18483.27,181,1,11803.10081,14514,1,0,17480,0,0,1,52,14,48,0,48,0,18,18,1,5014.321718,7836,0,0,0,1,5014.321718,7836,1,3250.475047,7212,0,0,0,1,3250.475047,7212,18,20,8,8,99,96,38
AC002115.9,0,31,71,0,0,0,0,36,2,3,18,20,38,3,18483.27,181,1,11590.27913,14433,0,0,19962,3,7.473333,1,53,39,190,26,164,1,36,37,2,25080.78418,17913,4,82279.29193,419,2,15509.2597,17331,2,14450.95585,16462,3,18483.2683,181,2,14223.78332,16378,91,57,13,13,117,347,94
AC002116.7,0,52,52,0,0,0,0,35,2,4,28,22,50,0,0,0,2,12713.47095,14124,2,0,15955,10,5.746111,0,57,57,325,32,293,0,57,57,2,20504.21691,16629,4,75481.28509,446,1,13797.2789,15917,2,14307.19761,16361,0,0,0,2,14307.19761,16361,111,83,27,21,104,471,96
AC002116.8,1,33,76,2,0,0,0,34,2,4,24,21,45,0,0,0,2,13048.1405,14285,2,0,15955,7,6.572308,0,55,53,316,32,284,0,46,46,2,21821.12581,16968,4,75481.28509,446,1,14329.37042,16143,2,15588.83555,16919,0,0,0,2,15588.83555,16919,109,78,21,15,104,442,67
AC002117.1,1,44,117,0,0,0,0,38,4,4,59,65,124,9,126199.1381,866,1,9125.819373,12750,0,0,19962,8,8.520625,21,11,51,145,63,82,21,11,32,9,95805.9176,19758,9,111811.962,866,2,13249.74152,15401,9,116142.3788,19491,9,126480.6666,866,1,9067.255548,12327,104,118,55,53,200,322,196
AC002127.4,0,49,10,0,0,0,0,1,0,0,6,22,28,0,0,0,1,306.1029,5514,1,0,5514,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
AC002128.5,0,61,43,0,0,0,0,9,0,1,41,15,56,0,0,0,1,20174.97866,18219,1,0,2909,0,0,0,25,8,1,1,0,0,0,0,3,31794.52,19609,3,31794.52,716,0,0,0,0,0,0,0,0,0,0,0,0,21,9,5,0,73,100,1
AC002306.1,0,52,75,0,0,239,0,19,4,0,44,36,80,0,0,0,1,6106.84027,8877,1,0,1320,0,0,0,79,45,188,0,188,0,79,79,1,10583.48118,10551.5,0,0,0,1,10583.48118,10551.5,1,5954.524619,8340,0,0,0,1,5954.524619,8340,82,81,39,34,191,507,191
AC002310.12,2,36,95,2,0,0,0,40,4,5,42,25,67,0,0,0,2,23855.59416,17364,2,0,17301,12,8.2365,0,43,125,563,39,524,0,43,43,2,29272.06377,17407,6,84302.82648,449,2,21366.27079,17141,2,23546.48723,16873,0,0,0,2,23546.48723,16873,245,197,41,24,117,1141,117
AC002310.7,0,31,82,0,0,0,0,33,2,5,49,32,81,0,0,0,2,20567.86827,16900,2,0,16837,9,7.588125,0,63,81,247,28,219,0,63,63,2,28731.18474,17498,5,86332.58036,415,2,24475.90657,17407,2,23207.43503,16624,0,0,0,2,23207.43503,16624,135,104,45,31,160,563,159
AC002331.1,0,56,33,3,0,0,0,4,0,3,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
AC002383.2,0,70,9,0,0,0,0,0,0,0,6,11,17,0,0,0,2,936.9952,7839,2,0,7839,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002386.1,0,52,4,0,0,74,0,0,0,1,0,9,0,0,0,0,1,2485.01215,5486.5,0,0,19962,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC002398.11,0,29,120,0,0,0,0,33,2,4,51,31,82,4,98864.9,446,1,14534.08403,18068,0,0,19962,18,6.456897,7,47,22,165,8,157,7,36,43,2,26027.26847,18105,4,89997.13222,446,1,15781.75866,17760,2,32532.97641,18096,4,93093.9504,446,1,18603.95239,17909.5,56,42,22,13,163,211,98
AC002398.12,0,28,43,0,0,0,0,36,3,5,49,28,77,4,98864.9,446,1,15155.18841,18149,1,0,18220,7,6.863077,7,44,53,239,26,213,7,33,40,3,34004.47846,18536,4,98068.69805,446,2,16998.71571,18276,3,40249.25919,18386,4,102723.3813,446,3,19012.99635,18268,114,81,37,20,139,434,115
AC002398.13,2,51,172,0,0,0,0,22,1,1,36,27,63,4,109925.8833,447,2,11755.51622,17678,3,0,18364,3,8.48,6,27,21,216,8,208,6,12,18,1,19087.69945,16911,3,75570.85939,382,1,15001.68362,16730,4,44923.99909,18454.5,4,109925.8824,447,4,17066.0491,18273.5,68,55,4,3,116,329,23
AC002401.1,0,42,186,0,0,265,0,16,1,3,40,56,96,6,119992.0386,633,1,8536.585214,11924.5,1,0,18329,7,5.794167,7,58,88,241,26,215,7,58,65,2,31265.95138,17896,5,93753.84024,656,2,9794.732036,13782,2,28164.59724,17998,6,86499.86609,633,2,10791.52537,16109,147,152,40,56,189,558,189
AC002429.5,0,55,6,0,0,0,0,7,1,1,40,46,86,0,0,0,1,9916.645415,12678,0,0,19962,0,0,0,96,14,115,14,101,0,25,25,1,20060.92053,16177,2.5,49587.52171,748,1,13263.42961,15566,1,10014.43305,13666.5,0,0,0,1,10014.43305,13666.5,25,34,5,8,19,173,4
AC002451.3,0,47,11,0,0,0,0,23,3,1,53,78,131,0,0,0,1,3868.133631,9166,1,0,3610,5,7.45375,0,67,42,218,14,204,0,43,43,1,18871.83043,17085,2,47291.8973,748,1,12452.51348,15449,2,7336.565739,13839,0,0,0,2,7336.565739,13839,51,76,9,19,75,272,45
AC002454.1,0,27,66,0,0,40,0,35,3,5,77,149,226,6,102887.4665,467,1,10063.41831,10621,1,0,17938,3,7.065,20,115,101,152,25,127,20,73,93,3,70469.16708,17830,6,159882.681,794,1,12024.80984,15935,3,62683.02248,18455,11,121372.4863,575,1,13775.13596,15647,70,116,42,87,123,352,116
AC002456.2,0,62,20,0,0,0,0,6,2,4,12,27,39,0,0,0,1,15853.89578,15829,0,0,19962,4,6.281667,0,10,40,57,0,57,0,9,9,1,9617.199446,10199.5,0,0,0,1,9617.199446,10199.5,1,14027.59352,15406,0,0,0,1,14027.59352,15406,24,39,8,15,61,115,33
AC002463.3,1,49,26,0,0,0,0,1,0,4,14,15,29,0,0,0,1,6217.175671,10739,1,0,12535,3,8.275,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
AC002467.7,3,53,27,0,0,0,0,18,2,5,9,10,19,0,0,0,1,17219.1534,14326,1,0,14326,4,8.001429,0,19,50,180,5,175,0,19,19,2,15960.80302,16123,3,55758.22002,398,1,13209.37666,15780,1,17054.88723,13903,0,0,0,1,17054.88723,13903,73,94,6,4,31,419,29
AC002472.11,0,60,36,0,0,0,0,5,0,0,21,25,46,0,0,0,1,8707.090479,12365,1,0,14153,4,6.765714,0,57,10,88,0,88,0,30,30,1,10234.89848,11854,0,0,0,1,10234.89848,11854,1,5656.487193,10832,0,0,0,1,5656.487193,10832,34,38,3,5,82,93,31
AC002480.3,1,86,55,0,0,0,0,31,4,3,126,86,212,4,35765.335,693.5,1,7074.114459,6062,0,0,19962,3,5.898,2,76,185,158,19,139,1,12,13,1,12633.0043,13659,5,45611.34618,788,1,9237.601054,12081,1,21884.7826,13874,5,42600.2496,788,1,14440.16164,4335,123,175,27,35,166,601,146
AC002480.4,0,52,16,0,0,246,0,26,4,3,31,36,67,5,42600.25,788,1,12914.15096,3842.5,1,0,1187,1,7.55,1,12,142,129,1,128,1,12,13,1,13298.61272,14133,5,42600.2496,788,1,9767.806065,12703,1,22664.84639,13874,5,42600.2496,788,1,14745.30265,4335,95,144,31,36,157,513,157
AC002511.1,1,65,24,0,0,215,0,8,1,1,12,26,38,0,0,0,1,1059.48335,3167,0,0,19962,0,0,0,2,12,4,0,4,0,2,2,1,1390.641267,3389,0,0,0,1,1390.641267,3389,1,1059.48335,2744,0,0,0,1,1059.48335,2744,32,27,9,16,31,50,22
AC002511.2,0,58,80,0,0,215,0,5,0,1,20,25,45,0,0,0,1,1059.48335,3167,0,0,19962,0,0,0,2,30,34,1,33,0,2,2,1,9383.741134,10945,3,31794.52,716,1,8694.178708,10945,1,1116.03662,3121,0,0,0,1,1116.03662,3121,41,39,11,15,34,123,21
AC002511.3,0,79,48,0,0,0,0,24,2,2,19,23,42,0,0,0,1,1059.48335,3167,0,0,19962,0,0,0,2,42,91,2,89,0,2,2,1,13142.17885,14826.5,3,21811.08123,181,1,12818.10773,14671,1,1153.7388,3121,0,0,0,1,1153.7388,3121,53,48,5,8,34,190,9
AC002519.8,0,42,11,0,0,0,0,0,0,2,16,20,36,0,0,0,1,9297.583732,9289,1,0,7862,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0
AC002539.1,1,36,32,0,0,0,0,25,2,2,18,34,52,0,0,0,1,3504.6938,8790,0,0,19962,9,7.634118,0,38,84,100,0,100,0,13,13,1,4107.050341,9278,0,0,0,1,4107.050341,9278,1,4646.905369,7786,0,0,0,1,4646.905369,7786,31,83,9,8,16,211,12
AC002550.5,0,70,19,0,0,0,0,29,4,2,12,20,32,0,0,0,1,5646.962697,12909.5,0,0,19962,3,6.926667,0,30,93,112,1,111,0,30,30,1,6355.202237,12787,4,21097.8712,469,1,6131.828465,12777,1,6922.174975,12646,0,0,0,1,6922.174975,12646,38,61,11,19,73,281,66
AC002551.1,0,45,27,0,0,154,0,10,0,1,10,14,24,0,0,0,1,5067.480112,9328.5,0,0,19962,0,0,0,34,46,25,0,25,0,22,22,1,3687.62405,9173.5,0,0,0,1,3687.62405,9173.5,1,4057.832026,9609,0,0,0,1,4057.832026,9609,10,26,3,6,8,84,5
AC003005.2,1,53,23,2,0,196,0,26,2,4,11,13,24,0,0,0,1,6099.986353,7264,1,0,5575,3,6.774,0,47,19,106,0,106,0,37,37,1,6469.993776,7294,0,0,0,1,6469.993776,7294,2,7824.618117,7026,0,0,0,2,7824.618117,7026,19,20,7,7,121,175,70
AC003009.1,0,68,12,0,0,103,0,4,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,4.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
AC003051.1,0,58,35,0,0,0,0,36,5,4,13,51,64,0,0,0,1,4233.354394,10833.5,0,0,19962,1,7.58,0,48,81,122,0,122,0,40,40,1,3733.758793,9415,0,0,0,1,3733.758793,9415,1,5717.240299,12520,0,0,0,1,5717.240299,12520,42,88,9,34,38,174,37
AC003075.4,0,43,61,0,0,0,0,35,5,4,60,81,141,6,34177.935,665.5,1,4558.049086,10519,1,0,14371,2,5.0925,2,73,112,174,10,164,2,51,53,2,8451.368926,13624,6,29469.50669,356,2,6582.242337,12579,1,7565.517005,10866,10,33149.75108,574,1,5749.861683,10599,129,140,44,50,114,451,71
AC003084.2,0,37,10,0,0,103,0,0,0,0,39,65,104,0,0,0,1,5487.172244,8267,1,0,1659,1,7.485,0,55,9,9,0,9,0,7,7,1,2157.061289,4670,0,0,0,1,2157.061289,4670,1,1676.4971,4402,0,0,0,1,1676.4971,4402,8,9,5,8,23,23,20
AC003088.1,1,41,16,0,0,0,0,26,4,2,13,24,37,0,0,0,1,1619.443368,7250.5,0,0,19962,1,8.18,0,22,22,56,0,56,0,20,20,1,5754.838767,9528,0,0,0,1,5754.838767,9528,1,1522.983326,5526,0,0,0,1,1522.983326,5526,12,25,2,6,40,69,12
AC003090.1,0,80,12,0,0,0,0,7,1,0,15,3,18,0,0,0,0,0,0,0,0,0,1,4.865,0,0,25,15,0,15,0,0,0,2,3909.719894,11555.5,0,0,0,2,3909.719894,11555.5,0,0,0,0,0,0,0,0,0,3,4,3,0,12,12,0
AC003092.1,0,45,0,8,0,268,0,2,0,0,6,34,40,0,0,0,1,2323.589056,5060,0,0,19962,0,0,0,16,3,21,0,21,0,0,0,2,30897.10828,18696,0,0,0,2,30897.10828,18696,0,0,0,0,0,0,0,0,0,0,12,0,0,27,12,0
AC003092.2,0,76,3,0,0,147,0,2,0,2,46,147,193,0,0,0,1,9257.107737,13873,1,0,16545,0,0,0,123,42,104,0,104,0,39,39,1,17112.73078,17505,0,0,0,1,17112.73078,17505,1,6542.464491,7833,0,0,0,1,6542.464491,7833,23,79,13,39,26,113,1
AC003102.3,0,50,160,0,0,0,0,26,2,4,25,36,61,0,0,0,1,4778.286906,8209.5,0,0,19962,11,7.282353,0,54,71,293,23,270,0,54,54,1,16210.71186,16632,5,28552.32701,405,1,14891.12013,15585,1,4395.012912,7119,0,0,0,1,4395.012912,7119,100,136,25,32,70,314,66
AC003104.1,0,33,37,13,0,0,0,24,2,4,32,51,83,4,26739.71333,297,1,9680.086754,16171,0,0,19962,4,7.32375,3,37,102,371,49,322,3,37,40,3,29332.23449,18679,8,44721.83442,613,2,20386.73174,16860,4,18299.41396,18504,4,26739.71453,297,3,15873.4593,17750,189,199,30,48,35,542,35
AC003664.1,0,72,9,0,0,0,0,10,0,1,14,25,39,5,149570.018,505,1,8077.891228,6447,1,0,18346,1,8.31,5,18,7,12,4,8,0,0,0,2,74741.76358,10446.5,9,215417.6996,680,1,4403.795588,7625.5,0,0,0,0,0,0,0,0,0,1,6,0,0,8,1,0
AC003665.1,0,36,42,2,0,0,0,40,4,4,32,25,57,3,36497.654,549.5,1.5,17209.53193,16423,0,0,19962,3,6.484,10,38,114,225,39,186,10,38,48,3,69473.47506,18478.5,3,135573.6689,556,2,17018.73713,16603,3,26497.99845,17945,3,36643.52594,543,2,18010.8745,16286,134,134,32,25,143,477,143
AC003682.16,0,54,6,0,0,0,0,9,1,1,26,23,49,0,0,0,1,2455.097014,5798,1,0,5663,3,8.505,0,83,42,146,0,146,0,69,69,1,3949.236972,6012,0,0,0,1,3949.236972,6012,1,2448.430515,5276,0,0,0,1,2448.430515,5276,33,34,18,16,127,266,90
AC003956.1,1,67,99,0,0,329,0,8,2,4,20,37,57,0,0,0,1,6832.767278,8848,1,0,7203,4,8.70375,0,37,60,174,0,174,0,36,36,1,8454.90624,13155,0,0,0,1,8454.90624,13155,1,7359.224338,8573.5,0,0,0,1,7359.224338,8573.5,76,118,11,23,65,300,63
AC003958.2,0,59,16,0,0,0,0,3,0,0,25,56,81,0,0,0,1,2613.60094,7755.5,0,0,19962,12,7.752083,0,10,106,118,19,99,0,4,4,2,47692.74823,16525,7,145779.2158,907,1,10988.08699,14598,2,4139.886353,13049,0,0,0,2,4139.886353,13049,168,143,20,19,66,422,66
AC003973.4,1,78,27,0,0,0,0,1,0,1,4,1,5,0,0,0,1,3650.758,5271.5,0,0,19962,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
AC003984.1,0,47,6,0,0,0,0,35,4,2,50,229,279,0,0,0,1,4449.895414,8463,1,0,5229,2,8.675,0,117,40,106,0,106,0,106,106,2,7049.417953,10762.5,0,0,0,2,7049.417953,10762.5,2,7049.417953,10494.5,0,0,0,2,7049.417953,10494.5,24,114,23,110,53,207,40
AC003985.1,2,78,14,0,0,92,0,4,0,1,1,0,0,0,0,0,1,3270.3818,14793,1,0,14793,0,0,0,1,13,1,0,1,0,0,0,2,1389.053,9095,0,0,0,2,1389.053,9095,0,0,0,0,0,0,0,0,0,2,4,0,0,3,11,0
AC003986.5,0,62,40,0,0,0,0,2,1,0,5,17,22,0,0,0,1,7984.927845,7326,1,0,2001,12,4.72,0,11,22,25,8,17,0,1,1,1,9561.66283,8709,4,26339.73518,291,1,4933.229079,8001,2,7764.9507,14815,0,0,0,2,7764.9507,14815,12,26,0,2,37,73,0
AC003986.6,1,48,15,0,0,0,0,1,0,1,5,18,23,0,0,0,1,7984.927845,7326,1,0,2001,20,5.997308,0,11,43,29,0,29,0,11,11,1,7066.460609,7171,0,0,0,1,7066.460609,7171,1,7972.357723,6903,0,0,0,1,7972.357723,6903,15,42,3,5,51,126,10
AC003986.7,0,40,63,0,0,0,0,11,0,2,4,12,16,0,0,0,1,7984.927845,7326,1,0,2001,37,6.207551,0,11,67,38,4,34,0,11,11,1,6976.053593,7527,5.5,28500.78948,335,1,6276.062182,7171,1,7958.530588,9393,0,0,0,1,7958.530588,9393,20,60,3,5,52,157,10
AC003988.1,1,46,8,0,0,122,0,19,1,2,28,67,95,0,0,0,1,8857.11924,15380,1,0,17199,0,0,0,47,40,52,0,52,0,42,42,2,12334.73125,16470,0,0,0,2,12334.73125,16470,2,13378.64448,16537,0,0,0,2,13378.64448,16537,18,37,16,32,63,117,48
AC003991.3,1,40,45,0,0,0,0,24,1,5,46,42,88,0,0,0,1,11482.6227,10856,1,0,17882,6,7.75625,0,29,13,77,0,77,0,3,3,1,6802.669275,11078,0,0,0,1,6802.669275,11078,2,4902.6139,12235,0,0,0,2,4902.6139,12235,24,16,5,4,131,143,21
AC004009.3,1,65,22,0,0,0,0,3,0,1,13,32,45,0,0,0,1,3703.859823,12217,0,0,19962,0,0,0,22,13,13,0,13,0,1,1,1,2439.494505,8601,0,0,0,1,2439.494505,8601,1,2541.0309,12573,0,0,0,1,2541.0309,12573,3,12,1,4,58,9,1
