LncRNA,F1:RiskSNP,F2:commonSNP,F5:TF(motif),F55:miRNA,F56:mRNA,F57:Protein,F58:Hallmark,F3:TF(ChIP-seq),F4:Core TF(ChIP-seq),F8:Histone modification,F9:ATAC-seq peak of cistrome & gene_mapper,F10:DHS & gene_mapper,F11:ATAC of cistrome & DHS & gene_mapper,F13:Element number of SE & gene_mapper,F14:Case ChIP signal of SE & gene_mapper,F15:Normalized rank of SE & gene_mapper,F17:Element number of TE & gene_mapper,F18:Case ChIP signal of TE & gene_mapper,F19:Normalized rank of TE & gene_mapper,F20:Element number of TE/SE & gene_mapper,F21:Case ChIP signal of TE/SE & gene_mapper,F22:Normalized rank of TE/SE & gene_mapper,F6:Methylation site,F7:Methylation value,F12:SE & gene_mapper,F16:TE & gene_mapper,F24:Global chromatin interaction,F25:SE/TE & interaction,F26:SE & interaction,F27:TE & interaction,F40:SE/TE & interaction & gene_mapper,F41:SE & interaction & gene_mapper,F42:TE & interaction & gene_mapper,F28:Element number of SE/TE & interaction,F29:Case ChIP signal of SE/TE & interaction,F30:Normalized rank of SE/TE & interaction,F31:Element number of SE & interaction,F32:Case ChIP signal of SE & interaction,F33:Normalized rank of SE & interaction,F34:Element number of TE & interaction,F35:Case ChIP signal of TE & interaction,F36:Normalized rank of TE & interaction,F43:Element number of SE/TE & interaction & gene_mapper,F44:Case ChIP signal of SE/TE & interaction & gene_mapper,F45:Normalized rank of SE/TE & interaction & gene_mapper,F46:Element number of SE & interaction & gene_mapper,F47:Case ChIP signal of SE & interaction & gene_mapper,F48:Normalized rank of SE & interaction & gene_mapper,F49:Element number of TE & interaction & gene_mapper,F50:Case ChIP signal of TE & interaction & gene_mapper,F51:Normalized rank of TE & interaction & gene_mapper,F37:ATAC-seq peak of cistrome & interaction,F39:DHS & interaction,F52:ATAC-seq peak of cistrome & interaction & gene_mapper,F53:DHS & interaction & gene_mapper,F23:ATAC of cistrome & ATAC of ATACdb & gene_mapper,F38:ATAC of ATACdb & interaction,F54:ATAC of ATACdb & interaction & gene_mapper
RP5-973M2.2,2,27,13,0,0,0,0,43,1,3,55,31,86,0,0,0,1,1137.077444,6884,1,0,6604,12,5.31125,0,25,31,24,2,22,0,10,10,1,5717.42152,9179,8,27367.752,721,1,2053.519438,9131,1,770.4313484,7879,0,0,0,1,770.4313484,7879,24,27,11,8,7,0,0
RP5-973N23.4,3,48,89,0,0,0,0,6,1,0,14,20,34,3.5,34045.86375,826,1,3033.945716,13323,0,0,23954,0,0,4,56,1,25,2,23,2,0,2,2,11758.52241,17537,3,45121.4166,834,1,5956.279948,17200,3,45121.4166,23303,3,45121.4166,834,0,0,0,6,8,0,0,7,4,0
RP5-974N19.1,0,48,45,0,0,121,0,11,1,0,21,36,57,2.5,14912.8695,709.5,1,2829.924477,11784.5,0,0,23954,0,0,2,48,1,3,0,3,0,3,3,3,9942.040433,20662,0,0,0,3,9942.040433,20662,3,9942.040433,20483,0,0,0,3,9942.040433,20483,0,0,0,0,1,0,0
RP5-977B1.7,0,42,166,0,0,0,0,56,1,5,101,102,203,7,26326.73533,910,1,6410.229042,18759.5,1,0,20689,5,6.085,3,108,26,185,8,177,3,90,93,1,10262.11051,20028,8,34718.55369,927,1,8275.250277,19959,2,10013.25763,19853,8,37877.59345,927,1,8682.158785,19849,72,69,43,41,9,16,6
RP5-978I12.1,0,78,27,0,0,0,0,9,0,0,12,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-981O7.2,0,60,15,0,0,0,0,15,1,3,12,17,29,0,0,0,1,2901.237546,13711,1,0,8239,16,8.894688,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-983L19.2,0,77,31,0,0,0,0,17,1,0,13,11,24,0,0,0,1,785.2339667,14342,1,0,17896,6,7.43875,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RP5-984P4.4,0,36,35,0,0,0,0,27,1,1,38,41,79,0,0,0,1,2289.7098,15674,1,0,18410,12,8.260833,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-986I17.2,2,61,9,0,0,108,0,13,1,0,10,26,36,0,0,0,1,1019.1204,11450,1,0,11546,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-988G17.1,0,60,28,0,0,0,0,9,1,0,5,17,22,0,0,0,1,1198.31655,8865.5,0,0,23954,0,0,0,6,27,75,2,73,0,4,4,1,3568.031985,13173,4,28970.239,711,1,3122.379231,13030.5,1,1665.603343,12467,0,0,0,1,1665.603343,12467,25,36,2,3,2,16,2
RP5-991C6.3,0,55,5,0,0,0,0,44,1,2,27,23,50,0,0,0,2,6358.901456,13137.5,0,0,23954,0,0,0,32,5,26,0,26,0,15,15,2,10793.14981,20452,0,0,0,2,10793.14981,20452,2,13024.46754,21449,0,0,0,2,13024.46754,21449,18,20,7,5,0,11,0
RP5-991C6.4,0,63,10,0,0,0,0,15,0,2,35,36,71,0,0,0,2,6285.274861,17273.5,0,0,23954,0,0,0,38,4,24,0,24,0,24,24,2,10611.7898,20377,0,0,0,2,10611.7898,20377,2,9096.077638,18260,0,0,0,2,9096.077638,18260,9,15,9,15,11,11,11
RP5-991G20.1,0,59,32,0,0,0,0,55,1,3,8,16,24,0,0,0,1,1805.807164,14055,1,0,19871,1,5.19,0,39,13,148,16,132,0,0,0,3,21962.58767,22153,7,60869.27844,998,3,9848.782853,20544,0,0,0,0,0,0,0,0,0,42,49,0,0,7,13,0
RP5-991G20.2,0,36,35,0,0,0,0,9,1,2,19,26,45,6,35224.1995,801.5,1,3072.082062,16186,0,0,23954,1,8.9,2,42,7,37,7,30,0,2,2,3,34437.73728,22493,9,80850.06079,1026,2,11231.57552,18281.5,2.5,5852.52,18754.5,0,0,0,2.5,5852.52,18754.5,12,15,2,0,0,0,0
RP5-991O23.1,1,108,11,0,0,51,0,4,0,1,13,11,24,0,0,0,1,232.484,4888,1,0,4984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-994D16.3,0,44,32,0,0,0,0,7,1,1,22,19,41,0,0,0,1,3846.529111,17036,1,0,18616,2,8.79,0,53,15,89,0,89,0,50,50,1,5097.396305,17851,0,0,0,1,5097.396305,17851,1,5428.97472,18220,0,0,0,1,5428.97472,18220,31,33,13,11,7,12,6
RP5-994D16.9,0,50,65,0,0,293,0,15,1,2,20,26,46,0,0,0,1,3033.843733,15354,1,0,18355,9,9.073333,0,51,2,28,15,13,0,0,0,6,33261.05474,23313.5,7,48609.31934,958,5,15551.51865,22508,0,0,0,0,0,0,0,0,0,8,10,0,0,9,0,0
RP5-997D16.2,0,64,14,0,0,0,0,19,1,2,19,20,39,0,0,0,1.5,2692.743203,14004,0,0,23954,1,7.575,0,34,4,9,0,9,0,3,3,1,5938.454933,8137.5,0,0,0,1,5938.454933,8137.5,6,7936.832825,15696.5,0,0,0,6,7936.832825,15696.5,8,6,4,1,6,0,0
RP5-997D24.3,1,54,29,0,0,0,0,8,0,1,47,21,68,0,0,0,1,2268.623468,13023.5,0,0,23954,3,8.136667,0,50,30,133,0,133,0,15,15,1,4429.253042,15816,0,0,0,1,4429.253042,15816,2,5461.293222,18333,0,0,0,2,5461.293222,18333,54,33,17,4,0,17,0
RP5-998H6.2,2,42,54,0,0,0,0,21,1,1,74,95,169,0,0,0,1,2926.376505,16519,1,0,18410,11,5.8575,0,75,1,28,0,28,0,0,0,1,4092.657996,18008.5,0,0,0,1,4092.657996,18008.5,0,0,0,0,0,0,0,0,0,5,6,0,0,1,4,0
