LncRNA,F1:RiskSNP,F2:commonSNP,F5:TF(motif),F55:miRNA,F56:mRNA,F57:Protein,F58:Hallmark,F3:TF(ChIP-seq),F4:Core TF(ChIP-seq),F8:Histone modification,F9:ATAC-seq peak of cistrome & gene_mapper,F10:DHS & gene_mapper,F11:ATAC of cistrome & DHS & gene_mapper,F13:Element number of SE & gene_mapper,F14:Case ChIP signal of SE & gene_mapper,F15:Normalized rank of SE & gene_mapper,F17:Element number of TE & gene_mapper,F18:Case ChIP signal of TE & gene_mapper,F19:Normalized rank of TE & gene_mapper,F20:Element number of TE/SE & gene_mapper,F21:Case ChIP signal of TE/SE & gene_mapper,F22:Normalized rank of TE/SE & gene_mapper,F6:Methylation site,F7:Methylation value,F12:SE & gene_mapper,F16:TE & gene_mapper,F24:Global chromatin interaction,F25:SE/TE & interaction,F26:SE & interaction,F27:TE & interaction,F40:SE/TE & interaction & gene_mapper,F41:SE & interaction & gene_mapper,F42:TE & interaction & gene_mapper,F28:Element number of SE/TE & interaction,F29:Case ChIP signal of SE/TE & interaction,F30:Normalized rank of SE/TE & interaction,F31:Element number of SE & interaction,F32:Case ChIP signal of SE & interaction,F33:Normalized rank of SE & interaction,F34:Element number of TE & interaction,F35:Case ChIP signal of TE & interaction,F36:Normalized rank of TE & interaction,F43:Element number of SE/TE & interaction & gene_mapper,F44:Case ChIP signal of SE/TE & interaction & gene_mapper,F45:Normalized rank of SE/TE & interaction & gene_mapper,F46:Element number of SE & interaction & gene_mapper,F47:Case ChIP signal of SE & interaction & gene_mapper,F48:Normalized rank of SE & interaction & gene_mapper,F49:Element number of TE & interaction & gene_mapper,F50:Case ChIP signal of TE & interaction & gene_mapper,F51:Normalized rank of TE & interaction & gene_mapper,F37:ATAC-seq peak of cistrome & interaction,F39:DHS & interaction,F52:ATAC-seq peak of cistrome & interaction & gene_mapper,F53:DHS & interaction & gene_mapper,F23:ATAC of cistrome & ATAC of ATACdb & gene_mapper,F38:ATAC of ATACdb & interaction,F54:ATAC of ATACdb & interaction & gene_mapper
A1BG-AS1,0,48,49,6,0,373,0,44,1,2,64,52,116,5,29435.306,597,1,4693.375578,16251,1,0,19181,5,7.744444,10,123,13,181,30,151,10,67,77,1,11734.46242,19015,6,30268.47919,683,1,6515.729999,17730,1,8863.04246,18094.5,7,29532.99027,634,1,5506.384268,17551,58,47,23,18,18,14,6
A2M-AS1,0,54,126,0,0,295,0,61,1,3,25,21,46,0,0,0,1,3051.851844,12472,0,0,23954,3,7.066667,0,18,19,78,4,74,0,0,0,1,5277.647617,16273,11,27056.81135,650,1,3784.219246,16030,0,0,0,0,0,0,0,0,0,45,39,1,0,1,12,0
A2ML1-AS1,0,73,62,0,0,180,0,11,1,1,20,23,43,0,0,0,1.5,3425.079817,12032.5,0,0,23954,1,7.36,0,12,24,92,4,88,0,7,7,1,6451.706672,16228,11,26586.23419,650,1,3612.222023,14985,3,5428.087108,18629,0,0,0,3,5428.087108,18629,53,46,7,3,0,13,0
A2ML1-AS2,0,64,24,0,0,179,0,46,1,2,16,18,34,0,0,0,1.5,3425.079817,12032.5,0,0,23954,6,6.431818,0,12,29,96,4,92,0,11,11,2,5787.459411,16055,11,26586.23419,650,2,3993.055313,14963,3,4829.114974,18629,0,0,0,3,4829.114974,18629,61,52,15,9,0,13,0
AB015752.3,0,45,24,0,0,0,0,19,1,3,20,32,52,3,46442.057,968.5,1,4087.466602,17447,1,0,19822,2,6.7425,2,47,8,37,2,35,1,27,28,1,6346.587818,17975,2,24366.69676,910,1,5304.963024,17688,1,6290.761298,17796,2,21986.2224,910,1,5434.645238,17509,10,17,7,9,10,8,7
AB019440.50,0,50,15,0,0,0,0,21,1,2,8,11,19,0,0,0,1,469.19592,19945,1,0,20041,11,6.355294,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
ABCA9-AS1,0,45,20,0,0,92,0,12,1,0,11,21,32,0,0,0,1,2747.75841,15111,1,0,21478,1,6.54,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC5-AS1,1,43,31,0,0,248,0,49,1,4,74,43,117,5,42131.582,805,1,6065.074292,17117,0,0,23954,1,7.135,1,53,19,206,10,196,1,34,35,2,12657.52323,20264,9,76075.01139,1095,2,8084.725222,19870,3,9612.910233,18954,5,42131.5818,813,3,9088.415531,18954,72,82,15,13,20,51,8
AC000032.2,0,51,17,0,0,0,0,37,1,1,33,31,64,6.5,35624.6775,826.5,1,4320.467761,13586,1,0,6137,0,0,2,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
AC000036.4,2,54,52,0,0,0,0,9,1,0,22,38,60,0,0,0,1,2630.227024,15091.5,0,0,23954,4,7.36875,0,38,2,10,1,9,0,4,4,1,12991.47895,15350,15,43666.4072,892,1,2165.033682,11118,1,563.143025,10175,0,0,0,1,563.143025,10175,8,3,4,1,15,0,0
AC000067.1,0,56,39,0,0,170,0,23,1,1,88,77,165,3,25110.895,789,1,4351.439784,14457.5,0,0,23954,2,8.7375,4,88,10,57,3,54,0,16,16,1,9536.467931,17149,19,72797.14649,1077,1,4313.109151,16893,1,1618.141388,10535,0,0,0,1,1618.141388,10535,19,24,6,7,0,4,0
AC000068.10,0,41,8,0,0,0,0,52,1,3,32,43,75,0,0,0,1,4396.900635,17995.5,0,0,23954,5,8.209,0,88,17,67,2,65,0,55,55,1,6302.456741,18638,19,80012.41752,1077,1,5407.918382,18322,1,5344.843196,18301,0,0,0,1,5344.843196,18301,20,24,15,19,10,10,9
AC000068.5,2,40,23,8,0,0,0,51,1,5,22,39,61,0,0,0,1,4939.334008,18693.5,0,0,23954,3,8.326667,0,76,17,67,2,65,0,55,55,1,6783.861868,19985,19,80012.41752,1077,1,5920.31758,19985,1,5871.447452,19806,0,0,0,1,5871.447452,19806,20,24,15,19,10,10,9
AC000068.9,0,34,9,0,0,0,0,51,1,5,21,34,55,0,0,0,1,4878.086001,18687,1,0,19354,5,8.209,0,77,18,67,2,65,0,55,55,1,5887.209624,18184,19,80012.41752,1077,1,5116.677318,18184,1,5056.658983,18005,0,0,0,1,5056.658983,18005,20,24,15,19,10,10,9
AC000099.1,2,61,18,0,0,0,0,9,1,1,18,23,41,0,0,0,1,1221.55585,10772,0,0,23954,1,4.55,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AC000111.3,0,24,11,0,0,0,0,19,1,1,17,16,33,0,0,0,1,825.6255286,6452,1,0,5078,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000111.6,0,30,1,0,0,0,0,22,1,1,24,22,46,0,0,0,2,4026.771514,10855,0,0,23954,0,0,0,14,1,7,0,7,0,7,7,2,2518.525714,11867,0,0,0,2,2518.525714,11867,2,2518.525714,11688,0,0,0,2,2518.525714,11688,4,3,4,3,1,0,0
AC000120.7,0,30,22,12,0,0,0,15,1,1,18,22,40,0,0,0,1,4536.434734,18280,1,0,20049,0,0,0,35,3,24,0,24,0,24,24,1,6343.81155,18746.5,0,0,0,1,6343.81155,18746.5,1,6343.81155,18567.5,0,0,0,1,6343.81155,18567.5,5,10,5,10,6,5,5
AC000123.4,0,63,21,0,0,0,0,37,1,3,11,16,27,0,0,0,1,4326.105556,18121,1,0,18217,4,6.6725,0,25,2,25,0,25,0,25,25,1,4326.105556,18046,0,0,0,1,4326.105556,18046,1,4326.105556,17867,0,0,0,1,4326.105556,17867,7,11,7,11,14,9,9
AC000124.1,0,75,13,0,0,0,0,21,1,0,6,16,22,0,0,0,1,660.49875,14350.5,0,0,23954,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000370.2,0,58,42,0,0,0,0,7,1,0,19,26,45,0,0,0,1,1564.891424,11364,1,0,4530,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC002044.4,1,58,33,0,0,0,0,72,1,5,67,70,137,6.5,48954.1295,971,2,8353.343511,18301.5,0,0,23954,1,8.4,14,76,7,62,13,49,13,49,62,5,32851.89083,22932,7,71287.89405,1023.5,4,12227.69398,21923,4,28629.1888,22314,7,66870.33544,1021,3,11320.03822,20822,24,25,24,25,9,5,5
AC002056.5,0,60,50,0,0,115,0,8,1,0,22,37,59,0,0,0,1,2630.227024,15091.5,0,0,23954,0,0,0,38,1,4,0,4,0,4,4,1,563.143025,10354,0,0,0,1,563.143025,10354,1,563.143025,10175,0,0,0,1,563.143025,10175,4,1,4,1,15,0,0
AC002059.10,0,43,70,0,0,0,0,13,1,1,56,53,109,1,27777.5475,753,1,6674.375,20168,1,0,21204,2,8.335,8,73,8,56,1,55,1,29,30,2,8685.136235,20255,7,41724.7543,979,2,7289.096035,20036,2,8639.629948,20222,7,41724.7543,979,2,7012.492685,19857,24,23,20,20,1,1,0
AC002064.4,0,65,22,0,0,180,0,14,1,1,16,21,37,0,0,0,1,1437.855133,11525,1,0,9000,0,0,0,9,11,25,3,22,0,7,7,1,3828.592462,11450,10,32221.58787,761,1,1494.921607,10162,1,1545.896543,11271,0,0,0,1,1545.896543,11271,16,14,6,6,5,5,5
AC002064.5,0,51,32,0,0,0,0,8,1,0,11,20,31,0,0,0,1,2049.032107,14479,1,0,19218,1,3.61,0,27,3,49,0,49,0,24,24,1,2479.892904,14324,0,0,0,1,2479.892904,14324,1,2250.369033,13999.5,0,0,0,1,2250.369033,13999.5,13,14,4,4,5,11,5
AC002066.1,2,46,87,0,0,350,0,49,1,4,77,71,148,4,36245.23492,660,2,5232.654572,17452,0,0,23954,18,7.418148,13,119,76,288,21,267,13,106,119,3,14662.30768,20547,4,33121.03756,658,2,7869.594791,18159,3,15504.20047,21285,3,34799.7808,658,2,8079.06576,18708,118,114,54,43,5,27,5
AC002076.10,0,52,28,0,0,0,0,49,1,3,41,67,108,5.5,27200.0615,599,1,2495.443834,12135,0,0,23954,26,8.475484,2,64,24,118,3,115,2,20,22,1,5506.25631,16320,7,27159.88253,594,1,3860.580717,14651,2,8615.676782,19270,7,26638.6998,594,2,4659.403437,17516,28,44,4,9,0,7,0
AC002115.5,0,57,50,0,0,0,0,15,1,0,30,30,60,0,0,0,1,3362.84954,16373,1,0,19897,0,0,0,77,3,37,0,37,0,22,22,1,1969.314795,12539,0,0,0,1,1969.314795,12539,1,1851.166436,12285.5,0,0,0,1,1851.166436,12285.5,12,11,4,3,7,2,2
AC002115.9,0,31,71,0,0,0,0,58,1,3,32,33,65,0,0,0,1,3316.826887,16373,1,0,19781,3,8.083333,0,79,44,288,14,274,0,77,77,2,8800.01361,19547,8,34144.59707,842,2,7503.182866,19130,2,4202.178505,17354,0,0,0,2,4202.178505,17354,104,102,25,21,7,29,7
AC002116.7,0,52,52,0,0,0,0,68,1,4,49,38,87,0,0,0,1,5424.951206,17698,0,0,23954,3,7.63,0,68,73,435,15,420,0,61,61,2,8965.066851,19592,5,34780.47987,802,2,7232.156503,19079,2,7153.966843,19413,0,0,0,2,7153.966843,19413,176,171,35,33,10,43,9
AC002116.8,1,33,76,2,0,0,0,57,1,2,44,36,80,0,0,0,1,5814.463467,18088,1,0,20759,5,7.696,0,63,53,413,14,399,0,57,57,2,8915.061019,19191,5,35366.96955,802,1,6836.696777,18658,2,6759.001971,19413,0,0,0,2,6759.001971,19413,155,156,27,27,10,36,6
AC002117.1,1,44,117,0,0,0,0,76,1,3,78,95,173,8,56877.77212,1042,1,5991.421996,16167,0,0,23954,8,8.82875,25,51,37,127,33,94,25,46,71,8,42590.91088,23531,10,63291.48585,1050,1,10421.09844,14780,8,48381.93262,23481,10,62239.13352,1050,3,15124.65045,14437,68,65,55,51,10,17,8
AC002127.4,0,49,10,0,0,0,0,9,1,0,16,34,50,0,0,0,1,4238.001427,19340,1,0,21986,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002128.5,0,61,43,0,0,0,0,14,1,4,46,28,74,1,13229.8985,551,1,6741.650148,20611.5,0,0,23954,0,0,2,50,3,12,3,9,0,0,0,2,17641.90665,16088,4,50583.33447,865,1,3524.151875,14558,0,0,0,0,0,0,0,0,0,21,23,0,0,8,1,0
AC002306.1,0,52,75,0,0,239,0,47,1,3,75,93,168,4,51610.226,844,1,4024.062461,17357,0,0,23954,0,0,1,119,13,108,4,104,1,35,36,2,10252.10866,18793,6,37731.96219,757,2,7656.789159,18645,2,10288.92648,18516,4,51610.226,852,2,6717.949981,18296,49,43,18,20,7,16,3
AC002310.12,2,36,95,2,0,0,0,88,1,3,50,43,93,2.5,34784.7755,790.5,2,9001.442458,20181,2,0,20624,15,7.711818,6,71,132,833,75,758,6,69,75,3,15947.55277,21687,7,39356.56261,822,2,10337.27436,20903,3,15212.80189,21548,4,37141.85545,859,2,11921.59486,21419,338,341,47,38,11,113,7
AC002310.7,0,31,82,0,0,0,0,67,2,4,58,50,108,3,33118.83743,730,2,8598.377033,20518,2,0,20163,7,8.722857,7,86,73,382,41,341,7,86,93,2,15369.66986,21853,5,36072.45542,738,2,11708.74673,21527,2,14526.56712,21548,4,35550.98579,738,2,11505.64194,21348,167,163,48,42,11,59,11
AC002331.1,0,56,33,3,0,0,0,13,1,1,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002383.2,0,70,9,0,0,0,0,11,1,0,19,33,52,0,0,0,1,803.861775,9783.5,0,0,23954,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002386.1,0,52,4,0,0,74,0,22,1,0,5,15,20,0,0,0,1,330.8996182,7833,1,0,2866,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002398.11,0,29,120,0,0,0,0,67,1,5,84,53,137,9,35203.26,843.5,1,6471.123023,19331,1,0,21867,17,8.280303,2,87,18,223,11,212,2,80,82,2,11944.56923,20742,8,36636.07386,861,2,9651.363039,20053,4,12779.1762,21517,9,35203.26,851.5,4,11025.33725,21368,96,80,49,40,10,16,7
AC002398.12,0,28,43,0,0,0,0,63,1,5,80,48,128,9,35203.26,843.5,1,7082.094562,19574.5,0,0,23954,7,8.44,2,78,54,294,22,272,2,73,75,4,13387.66708,21788,8,35427.90232,851.5,4,11213.60657,21547,4,14507.24565,22096,9,35203.26,851.5,4,12760.74655,22002,135,117,55,40,9,26,9
AC002398.13,2,51,172,0,0,0,0,35,1,4,67,40,107,9,35203.26,843.5,1,6844.646218,18304,1,0,6462,2,9.34,2,55,22,263,3,260,2,48,50,2,10398.19932,20534,8,33745.46063,842,2,9055.215258,20061,4,15163.72008,22175,9,35203.26,851.5,4,12684.60174,22002,100,88,29,23,8,23,5
AC002401.1,0,42,186,0,0,265,0,28,1,5,105,56,161,5.5,51193.51433,942,1,5838.693695,16660,0,0,23954,9,6.641765,6,82,7,69,11,58,5,35,40,3,19147.49395,22228,5,32832.11041,593,2,14128.22286,21332,2,17406.56809,21795,6,36185.59332,755,2,12591.43341,21418,29,13,22,10,5,0,0
AC002429.5,0,55,6,0,0,0,0,16,1,0,57,56,113,4.5,31323.2325,745.5,1,3509.212453,14710,1,0,5018,0,0,2,79,8,78,1,77,0,0,0,1,3571.554314,15401,1,19692.2154,514,1,3245.884393,14966,0,0,0,0,0,0,0,0,0,28,38,0,0,0,13,0
AC002451.3,0,47,11,0,0,0,0,55,1,3,69,80,149,11.5,27513.272,648,1,2637.713548,10030.5,0,0,23954,5,6.997,2,46,27,127,3,124,0,16,16,1,4265.144731,14859.5,1,23931.51697,514,1,3689.142197,14727,2,2892.396438,10541,0,0,0,2,2892.396438,10541,60,72,15,13,3,24,3
AC002454.1,0,27,66,0,0,40,0,62,1,4,114,139,253,8,20113.68575,722.5,1,3476.243873,13995,0,0,23954,14,7.098889,4,184,38,127,7,120,4,83,87,3,9764.48411,19026,8,27329.58463,859,2,7456.249746,17761,2,7256.276702,17325,8,21421.16341,896,1,6149.644928,16736.5,56,67,38,48,2,6,2
AC002456.2,0,62,20,0,0,0,0,29,1,2,20,25,45,0,0,0,1,2006.693752,12445,1,0,4332,6,5.547778,0,33,21,106,0,106,0,23,23,1,2644.56288,14047,0,0,0,1,2644.56288,14047,1,2716.069282,14105,0,0,0,1,2716.069282,14105,35,35,8,10,4,20,2
AC002463.3,1,49,26,0,0,0,0,16,1,0,30,31,61,0,0,0,1,2223.452014,15725.5,0,0,23954,3,7.978333,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002467.7,3,53,27,0,0,0,0,64,2,3,22,23,45,0,0,0,1,4846.980107,18812,0,0,23954,5,5.77,0,28,42,198,6,192,0,24,24,1,7111.619401,18055,3,27845.90543,818,1,5444.541127,17629,1,5507.510908,19073.5,0,0,0,1,5507.510908,19073.5,77,82,5,4,4,22,4
AC002472.11,0,60,36,0,0,0,0,16,1,1,32,29,61,2,19122.9705,204.5,1,4676.426306,16966,0,0,23954,4,6.86625,2,72,21,139,11,128,2,52,54,2,9272.843861,19490,5,33346.10992,609,2,6738.815855,18448,1,4632.648069,15967,2,19122.9705,212.5,1,4165.218313,15339,47,39,13,14,2,5,1
AC002480.3,1,86,55,0,0,0,0,33,1,2,181,150,331,5.5,34868.146,700.5,1,3510.299185,15102,0,0,23954,4,4.862,8,124,40,173,8,165,7,32,39,5,15485.91991,20984,6,30480.38186,619,4,8821.714603,19546,6,18469.8073,22213,6,30582.88417,619,5,10129.65601,19867,79,84,20,24,3,31,1
AC002480.4,0,52,16,0,0,246,0,38,1,3,36,31,67,6,30844.86586,611,5,8933.226108,19411.5,5,0,20688,1,4.83,7,12,42,181,8,173,7,12,19,5,14979.73797,20984,6,30505.70596,619,3,8359.132897,18788,6,20060.71547,22243,6,30582.88417,619,6,11309.60487,20338,94,91,26,22,3,30,1
AC002511.1,1,65,24,0,0,215,0,38,1,1,14,15,29,0,0,0,1,3451.380664,16257.5,0,0,23954,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002511.2,0,58,80,0,0,215,0,16,1,0,18,19,37,0,0,0,1,3322.921885,14895,1,0,21602,0,0,0,13,4,37,3,34,0,4,4,2,10543.43402,17884,4,50583.33447,865,2,5204.780629,16672.5,2,7157.008075,19253.5,0,0,0,2,7157.008075,19253.5,15,16,3,4,0,0,0
AC002511.3,0,79,48,0,0,0,0,20,1,3,21,23,44,0,0,0,1,3279.115738,15706,0,0,23954,0,0,0,16,18,167,5,162,0,8,8,1,7171.47895,17761,8,44431.30468,861,1,5270.467433,17586,2,5754.433152,17407,0,0,0,2,5754.433152,17407,46,39,9,9,0,5,0
AC002519.8,0,42,11,0,0,0,0,5,1,0,18,18,36,0,0,0,1,4552.470493,18156,1,0,18852,0,0,0,27,2,46,0,46,0,26,26,2,5245.458621,18166,0,0,0,2,5245.458621,18166,1,4713.4608,17883,0,0,0,1,4713.4608,17883,10,10,6,7,1,4,0
AC002539.1,1,36,32,0,0,0,0,24,1,0,20,18,38,27,65053.176,983,1,2418.889133,13855,0,0,23954,9,5.529286,1,21,5,23,1,22,1,17,18,1,16672.67762,16050,27,65053.1757,991,1,1786.370518,10808,1,13983.77395,15871,27,65053.1757,991,1,1967.444124,10629,10,4,7,3,5,4,4
AC002550.5,0,70,19,0,0,0,0,51,2,3,37,33,70,0,0,0,1,4066.883795,17342,0,0,23954,3,6.595,0,40,29,101,2,99,0,28,28,2,5474.895071,17910,7,37150.19016,551,2,4874.98418,17910,1,5239.643239,18065,0,0,0,1,5239.643239,18065,56,52,9,10,6,27,6
AC002551.1,0,45,27,0,0,154,0,24,1,2,27,27,54,0,0,0,1,1974.107338,12647,0,0,23954,0,0,0,42,5,21,1,20,0,13,13,1,6074.21654,12278,5,28452.1946,296,1,4128.305404,11096,1,1505.903277,9040,0,0,0,1,1505.903277,9040,12,12,4,3,0,0,0
AC003005.2,1,53,23,2,0,196,0,42,1,4,25,27,52,0,0,0,1,2675.025761,13249,1,0,7968,3,7.1775,0,69,11,138,0,138,0,68,68,1,3019.715779,13174,0,0,0,1,3019.715779,13174,2,3930.379205,13662,0,0,0,2,3930.379205,13662,36,34,18,17,11,18,9
AC003009.1,0,68,12,0,0,103,0,9,1,0,8,24,32,0,0,0,2,3715.1603,11828,0,0,23954,1,9.18,0,12,2,13,0,13,0,0,0,1,7268.637884,18970,0,0,0,1,7268.637884,18970,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0
AC003051.1,0,58,35,0,0,0,0,30,1,1,21,37,58,0,0,0,1,2725.731938,12080.5,0,0,23954,0,0,0,52,13,66,2,64,0,37,37,1,3321.4093,12724,6,14472.9781,687,1,3007.280601,12695,1,2774.905205,11942,0,0,0,1,2774.905205,11942,22,26,10,14,1,7,0
AC003075.4,0,43,61,0,0,0,0,61,1,4,57,82,139,0,0,0,2,4330.250692,16314,2,0,21698,2,3.566667,0,107,45,225,5,220,0,92,92,2,8516.77789,18028,20,50431.47242,938,2,6735.16895,17613,2,6107.105264,18482.5,0,0,0,2,6107.105264,18482.5,76,98,27,41,6,22,6
AC003084.2,0,37,10,0,0,103,0,20,1,0,53,66,119,0,0,0,1,2961.666054,15797.5,0,0,23954,1,4.69,0,48,2,9,0,9,0,9,9,1,2477.661033,12681,0,0,0,1,2477.661033,12681,1,2477.661033,12502,0,0,0,1,2477.661033,12502,5,2,5,2,0,2,0
AC003088.1,1,41,16,0,0,0,0,53,1,2,33,58,91,0,0,0,1,2517.216724,13155,1,0,21891,0,0,0,37,21,36,0,36,0,16,16,1,2683.176757,10305,0,0,0,1,2683.176757,10305,1,4063.011787,11152,0,0,0,1,4063.011787,11152,20,26,6,7,0,5,0
AC003090.1,0,80,12,0,0,0,0,15,1,1,27,24,51,0,0,0,1,1414.24015,5812.5,0,0,23954,1,2.875,0,10,9,38,1,37,0,2,2,2,5449.367652,14873,5,13649.4774,519,2,5282.018473,14646,3.5,5992.19665,13875,0,0,0,3.5,5992.19665,13875,30,32,7,6,0,7,0
AC003092.1,0,45,0,8,0,268,0,8,0,0,7,11,18,0,0,0,1,2074.22797,13657,1,0,3439,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003092.2,0,76,3,0,0,147,0,10,1,1,67,97,164,7,26024.932,610,1,3284.777016,13657,0,0,23954,0,0,1,125,6,43,1,42,0,2,2,1,3791.378365,13000,7,25515.9762,594,1,2567.457361,12873,1,199.272,1482.5,0,0,0,1,199.272,1482.5,9,20,0,0,0,1,0
AC003102.3,0,50,160,0,0,0,0,54,1,5,36,95,131,0,0,0,1,3078.296826,14440,0,0,23954,10,8.2585,0,76,43,276,24,252,0,66,66,2,16464.33925,22000,4,34958.75448,769,2,9967.350831,20310,1,4003.443599,14049.5,0,0,0,1,4003.443599,14049.5,106,188,25,36,4,22,4
AC003104.1,0,33,37,13,0,0,0,46,1,3,40,69,109,19,66219.104,1047,1,4253.208855,17312.5,1,0,18776,6,6.528182,1,58,19,118,42,76,0,25,25,2,19390.13629,18430,7,51591.0947,931,2,6640.518238,16376,2,4356.391228,16197,0,0,0,2,4356.391228,16197,29,35,10,10,3,3,2
AC003664.1,0,72,9,0,0,0,0,30,1,2,29,51,80,0,0,0,1,2928.053858,14977.5,0,0,23954,1,4.94,0,52,1,7,0,7,0,0,0,3,7812.778457,13438,0,0,0,3,7812.778457,13438,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0
AC003665.1,0,36,42,2,0,0,0,86,1,5,109,78,187,7,41003.61882,868,2,7360.183952,19816,0,0,23954,2,7.795,11,71,47,240,29,211,11,69,80,4,19908.295,22461,7,42479.06757,951,3,11410.78502,20557,4,19836.35791,22415,7,41783.3213,876,3,11070.36962,20378,164,138,60,46,14,28,14
AC003682.16,0,54,6,0,0,0,0,7,0,2,46,36,82,0,0,0,1,1281.090232,10285.5,0,0,23954,3,8.51,0,132,16,77,0,77,0,77,77,1,1646.666675,10060,0,0,0,1,1646.666675,10060,1,1646.666675,9881,0,0,0,1,1646.666675,9881,26,20,26,20,6,6,5
AC003956.1,1,67,99,0,0,329,0,25,1,3,63,58,121,4,36430.762,645,1,4766.282865,17901,1,0,19770,4,8.0175,3,72,16,166,4,162,2,43,45,1,8506.979023,19636,9,44034.88319,964,1,6586.551771,19544,1,9713.815757,18770.5,9,47404.33507,964,1,5458.434544,18310.5,57,60,25,18,2,7,1
AC003958.2,0,59,16,0,0,0,0,11,1,0,51,56,107,2.5,20936.716,701.5,2,6228.542409,15480,2,0,21840,12,8.2425,2,45,36,206,42,164,2,22,24,3,26481.11822,21801,6,62973.86683,1012,2,9758.904061,19489,2,10768.97309,20642,2,21309.3422,447,2,9451.426948,19705.5,124,92,7,7,1,16,0
AC003973.4,1,78,27,0,0,0,0,7,1,0,7,4,11,0,0,0,1,816.3089909,9261,1,0,7841,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003984.1,0,47,6,0,0,0,0,52,0,1,41,84,125,0,0,0,1,2494.968415,11765,0,0,23954,2,7.6125,0,114,22,88,0,88,0,88,88,2,4353.720331,13829,0,0,0,2,4353.720331,13829,2,4353.720331,13650,0,0,0,2,4353.720331,13650,18,35,18,35,0,0,0
AC003985.1,2,78,14,0,0,92,0,8,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,1,13,0,0,0,3,8360.505543,18510,5,13649.4774,519,3,7953.661554,17083,0,0,0,0,0,0,0,0,0,12,16,0,0,0,1,0
AC003986.5,0,62,40,0,0,0,0,13,1,0,12,22,34,0,0,0,1,5818.266917,17432.5,0,0,23954,10,4.115385,0,12,4,15,1,14,0,0,0,3,12800.72228,18480,20,53760.9702,938,2.5,6949.258293,15380.5,0,0,0,0,0,0,0,0,0,7,9,0,0,6,0,0
AC003986.6,1,48,15,0,0,0,0,11,1,0,11,29,40,0,0,0,1,4463.464372,13948,0,0,23954,20,5.155152,0,18,12,40,0,40,0,14,14,1,5279.076134,15043,0,0,0,1,5279.076134,15043,1.5,5524.958213,14318.5,0,0,0,1.5,5524.958213,14318.5,17,24,8,14,5,6,5
AC003986.7,0,40,63,0,0,0,0,30,1,3,8,20,28,0,0,0,1,5117.066793,15272,0,0,23954,43,5.885789,0,14,25,77,3,74,0,11,11,2,6871.980568,15351,2,23090.76629,893,2,6055.207186,15043,2,7137.720975,19520,0,0,0,2,7137.720975,19520,29,44,5,7,5,6,5
AC003988.1,1,46,8,0,0,122,0,21,1,0,39,51,90,0,0,0,1,2720.406598,12811,1,0,6165,0,0,0,47,17,42,1,41,0,35,35,1,3056.937475,11933,3,49417.13,1035,1,2588.652702,11767,1,2794.208874,12071,0,0,0,1,2794.208874,12071,21,23,18,19,2,10,2
